type	latitude	longitude	name
W	34.9121619	33.6042702	Start
W	34.9119595	33.6037874	marker
W	34.9122059	33.6031544	marker
W	34.9121971	33.6021781	marker
W	34.9111149	33.6016095	marker
W	34.9113789	33.6010087	marker
W	34.9111237	33.6008799	marker
W	34.9099184	33.6045599	marker
W	34.9095928	33.6049891	marker
W	34.9098656	33.6060405	marker
W	34.9105078	33.6068559	marker
W	34.9102087	33.6070919	marker
W	34.9100767	33.6075318	marker
W	34.9100327	33.6080575	marker
W	34.9100679	33.6082828	marker
W	34.9097776	33.6087227	marker
W	34.9097248	33.6091304	marker
W	34.9101031	33.6096776	marker
W	34.9101999	33.6099458	marker
W	34.9102967	33.6106002	marker
W	34.9104639	33.6112010	marker
W	34.9104111	33.6117589	marker
W	34.9102879	33.6121345	marker
W	34.9102791	33.6127996	marker
W	34.9103495	33.6131537	marker
W	34.9102087	33.6135077	marker
W	34.9088802	33.6144948	marker
W	34.9087306	33.6145270	marker
W	34.9084842	33.6147630	marker
W	34.9081323	33.6153746	marker
W	34.9080355	33.6159110	marker
W	34.9081675	33.6165762	marker
W	34.9084051	33.6172628	marker
W	34.9085634	33.6176491	marker
W	34.9085106	33.6179280	marker
W	34.9080003	33.6181855	marker
W	34.9076836	33.6185610	marker
W	34.9074196	33.6187649	marker
W	34.9065486	33.6202669	marker
W	34.9063682	33.6203367	marker
W	34.9059327	33.6212969	marker
W	34.9058887	33.6216187	marker
W	34.9052244	33.6224717	marker
W	34.9051496	33.6226809	marker
W	34.9046305	33.6233729	marker
W	34.9043049	33.6236680	marker
W 	34.9043049 	33.6236680 	marker
W 	34.9046305 	33.6233729 	marker
W 	34.9051496 	33.6226809 	marker
W 	34.9052244 	33.6224717 	marker
W 	34.9058887 	33.6216187 	marker
W 	34.9059327 	33.6212969 	marker
W 	34.9063682 	33.6203367 	marker
W 	34.9065486 	33.6202669 	marker
W 	34.9074196 	33.6187649 	marker
W 	34.9076836 	33.6185610 	marker
W 	34.9080003 	33.6181855 	marker
W 	34.9085106 	33.6179280 	marker
W 	34.9085634 	33.6176491 	marker
W 	34.9084051 	33.6172628 	marker
W 	34.9081675 	33.6165762 	marker
W 	34.9080355 	33.6159110 	marker
W 	34.9081323 	33.6153746 	marker
W 	34.9084842 	33.6147630 	marker
W 	34.9087306 	33.6145270 	marker
W 	34.9088802 	33.6144948 	marker
W 	34.9102087 	33.6135077 	marker
W 	34.9103495 	33.6131537 	marker
W 	34.9102791 	33.6127996 	marker
W 	34.9102879 	33.6121345 	marker
W 	34.9104111 	33.6117589 	marker
W 	34.9104639 	33.6112010 	marker
W 	34.9102967 	33.6106002 	marker
W 	34.9101999 	33.6099458 	marker
W 	34.9101031 	33.6096776 	marker
W 	34.9097248 	33.6091304 	marker
W 	34.9097776 	33.6087227 	marker
W 	34.9100679 	33.6082828 	marker
W 	34.9100327 	33.6080575 	marker
W 	34.9100767 	33.6075318 	marker
W 	34.9102087 	33.6070919 	marker
W 	34.9105078 	33.6068559 	marker
W 	34.9098656 	33.6060405 	marker
W 	34.9095928 	33.6049891 	marker
W 	34.9099184 	33.6045599 	marker
W 	34.9111237 	33.6008799 	end
